main_category,category,product,price
counterfeits,Forged Documents – Physical,Fake US Green Card,160
counterfeits,Forged Documents – Physical,New Jersey drivers license,160
counterfeits,Forged Documents – Physical,New Jersey drivers license,160
counterfeits,Forged Documents – Physical,Louisiana ID,150
counterfeits,Forged Documents – Physical,Utah ID,150
counterfeits,Forged Documents – Physical,European Union National ID (avg.),160
counterfeits,Forged Documents – Physical,US driver’s license (avg.),150
counterfeits,Forged Documents – Physical,Lithuanian passport,3800
data,Email Database Dumps,10 million USA email addresses,120
data,Email Database Dumps,600k New Zealand emails,110
data,Email Database Dumps,"2,4 million Canada emails",100
services,Malware,"Europe fresh, high-quality per 1,000 installs",1800
services,Malware,"UK high-quality per 1,000 installs",1800
services,Malware,"Europe low-quality, slow-speed, low success rate, per 1,000 installs",120
services,Malware,"USA, CA, UK, AU med quality, 70% success rate per 1,000 installs",1200
services,Malware,"CA high-quality, per 1,000 installs",1200
services,Malware,"USA high-quality, per 1,000 installs",1700
services,Malware,"USA, CA, UK, AU low quality, slow speed, low success rate x 1000 installs",800
services,Malware,"Europe, aged, high-quality, per 1,000 installs",1100
services,Malware,"USA only, medium-quality, 70% success rate, per 1,000 installs",900
services,Malware,"Europe, medium-quality, 70% success rate, per 1,000 installs",450
services,Malware,"Global, low quality, slow-speed, low success rate, per 1,000 installs",45
services,Malware,"Global, medium-quality, 70% success rate, per 1,000",115
services,Malware,"Android OS per 1,000 installs",950
services,Malware,"Premium-quality, per 1,000",5500
services,DDOS Attacks,"Unprotected website, 10-50k requests per second, 1 month",850
services,DDOS Attacks,"Unprotected website, 10-50k requests per second, 1 week",450
services,DDOS Attacks,"Europe, low-quality, slow speed, low success rate per 1, 000 requests",300
services,DDOS Attacks,"Unprotected website, 10-50k requests per second, 1 hour",10
services,DDOS Attacks,"Unprotected website, 10-50k requests per second, 24 hours",45
services,DDOS Attacks,"Premium protected website, 20-50k requests per second, multiple elite proxies, 24 hours",200
